inst#,actual,predicted,error,prediction,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
1,2:bad,2:bad,,0.969,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12
2,2:bad,2:bad,,1,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7
3,2:bad,2:bad,,1,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8
4,1:good,1:good,,0.951,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4
5,2:bad,2:bad,,0.97,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7
6,1:good,1:good,,0.857,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4
7,1:good,1:good,,0.951,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8
8,2:bad,2:bad,,0.993,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5
9,1:good,1:good,,0.951,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8
10,1:good,1:good,,0.974,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11
11,1:good,2:bad,+,0.75,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5
12,2:bad,2:bad,,0.993,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3
13,1:good,1:good,,0.951,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3
14,2:bad,2:bad,,1,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2
15,2:bad,1:good,+,0.951,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8
16,2:bad,2:bad,,0.993,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10
17,2:bad,2:bad,,1,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6
18,2:bad,2:bad,,1,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6
19,1:good,1:good,,0.938,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10
20,2:bad,2:bad,,0.993,6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8
21,2:bad,2:bad,,0.993,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8
22,2:bad,2:bad,,0.933,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8
23,1:good,1:good,,0.857,6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11
24,1:good,1:good,,0.974,6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9
25,2:bad,2:bad,,1,7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5
26,2:bad,2:bad,,0.993,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1
