title,imdbid,year,rating,binary
Roundhay Garden Scene,0392728,1888,0,0
Pauvre Pierrot,0000003,1892,0,0
"Execution of Mary, Queen of Scots, The",0132134,1895,0,0
Tables Turned on the Gardener,0000014,1895,0,0
"House of the Devil, The",0000091,1896,0,0
La fee aux choux,0223341,1896,0,0
"Arrival of a Train, The",0000012,1896,0,0
Une nuit terrible,0000131,1896,0,0
Four Heads Are Better Than One,0135696,1898,0,0
"Temptation of St. Anthony, The",0224240,1898,0,0
"Astronomer&#39;s Dream; or, The Man in the Moon, The",0000211,1898,0,0
A Turn of the Century Illusionist,0000246,1899,0,0
Cinderella,0000230,1899,3,1
"Searching Ruins on Broadway, Galveston, for Dead Bodies",0230746,1900,0,0
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0257654,1900,0,0
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0000272,1900,0,0
Sherlock Holmes Baffled,0291476,1900,0,0
"One-Man Band, The",0135453,1900,0,0
Grandma&#39;s Reading Glass,0000304,1900,0,0
"Enchanted Drawing, The",0000300,1900,0,0
Grandma Threading Her Needle,0377995,1900,0,0
Hamlet ( Le Duel d&#39;Hamlet),0000306,1900,0,0
Let Me Dream Again,0000313,1900,0,0
"Doctor and the Monkey, The",0227438,1900,0,0
L&#39;homme a la tete en caoutchouc,0000359,1901,0,0
Reve et realite,0258104,1901,0,0
Bluebeard,0131934,1901,0,0
Le voyage dans la lune,0000417,1902,0,0
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",0367177,1902,0,0
Gulliver&#39;s Travels,0229024,1902,0,0
Mephistopheles&#39; School of Magic,0000413,1902,0,0
"Monster, The",0223755,1903,0,0
"Music Lover, The",0000455,1903,0,0
"Great Train Robbery, The",0000439,1903,0,0
"Enchanted Well, The",0189498,1903,0,0
"Infernal Boiling Pot, The",0135180,1903,0,0
"Living Playing Cards, The",0135179,1904,0,0
"Cook in Trouble, The",0215664,1904,0,0
Le voyage a travers l&#39;impossible,0000499,1904,0,0
"Untamable Whiskers, The",0135631,1904,0,0
"Scheming Gambler&#39;s Paradise, The",0135690,1905,0,0
"Black Imp, The",0215575,1905,0,0
"Story of the Kelly Gang, The",0000574,1906,1,0
"400 Tricks of the Devil, The",0000567,1906,0,0
"Mysterious Retort, The",0216016,1906,0,0
"Hilarious Posters, The",0135122,1906,0,0
Humorous Phases of Funny Faces,0000554,1906,0,0
"Consequence of Feminism, The",1260944,1906,0,0
A Funny Shave,0449172,1906,0,0
Good Glue Sticks,0215817,1907,0,0
