title,imdbid,year,rating,binary
"Flight of the Phoenix, The",tt0059183,1965,0,0
Doctor Zhivago,tt0059113,1965,1,0
Mne dvadtsat let (I am twenty),tt0058361,1965,3,1
How to Murder Your Wife,tt0058212,1965,0,0
Invasion of Astro-Monster,tt0059346,1965,2,0
La battaglia di Algeri,tt0058946,1966,1,0
Who&#39;s Afraid of Virginia Woolf?,tt0061184,1966,1,0
A Man for All Seasons,tt0060665,1966,1,0
Our Man Flint,tt0059557,1966,2,0
Alfie,tt0060086,1966,1,0
How to Steal a Million,tt0060522,1966,0,0
End of August at the Hotel Ozone,tt0061879,1966,3,1
Persona,tt0060827,1966,3,1
Georgy Girl,tt0060453,1966,3,1
"Good, the Bad and the Ugly, The",tt0060196,1966,0,0
Blood Bath,tt0060174,1966,2,0
Andrei Rublev,tt0060107,1966,1,0
Daimajin,tt0062851,1966,1,0
Death Rides a Horse,tt0064208,1966,0,0
Daisies,tt0060959,1966,3,1
Torn Curtain,tt0061107,1966,3,1
Jesse James Meets Frankenstein&#39;s Daughter,tt0060558,1966,1,0
"Fortune Cookie, The",tt0060424,1966,1,0
Cathy Come Home,tt0059020,1966,3,1
"Trouble with Angels, The",tt0061122,1966,3,1
Blow-Up,tt0060176,1966,0,0
"Group, The",tt0060479,1966,3,1
L&#39;armata Brancaleone,tt0060125,1966,1,0
"Sand Pebbles, The",tt0060934,1966,1,0
Return of Daimajin,tt0062852,1966,0,0
Black Girl,tt0060758,1966,3,1
Wrath of Daimajin,tt0062853,1966,0,0
One Million Years B.C.,tt0060782,1966,1,0
"Plague of the Zombies, The",tt0060841,1966,3,1
La caza,tt0060223,1966,0,0
Django,tt0060315,1966,0,0
Fantastic Voyage,tt0060397,1966,0,0
A Big Hand for the Little Lady,tt0060165,1966,1,0
Fahrenheit 451,tt0060390,1966,3,1
Tokyo Drifter,tt0061101,1966,1,0
Daikaiju ketto: Gamera tai Barugon,tt0060446,1966,0,0
Dracula: Prince of Darkness,tt0059127,1966,1,0
"Godzilla vs. the Sea Monster (Ebirah, Horror of the Deep)",tt0060464,1966,1,0
You Only Live Twice,tt0062512,1967,1,0
Bonnie and Clyde,tt0061418,1967,3,1
"Fearless Vampire Killers, The",tt0061655,1967,1,0
"Jungle Book, The",tt0061852,1967,1,0
"Dirty Dozen, The",tt0061578,1967,0,0
Guess Who&#39;s Coming to Dinner,tt0061735,1967,3,1
Barefoot in the Park,tt0061385,1967,3,1
Koroshi no rakuin [Branded to Kill],tt0061882,1967,1,0
Uchu daikaiju Girara,tt0062411,1967,3,1
"Graduate, The",tt0061722,1967,2,0
Marketa Lazarova,tt0063278,1967,1,0
Smashing Time,tt0062281,1967,3,1
Wait Until Dark,tt0062467,1967,3,1
Woman Times Seven,tt0062502,1967,3,1
Le Samourai,tt0062229,1967,1,0
Playtime,tt0062136,1967,3,1
Valley of the Dolls,tt0062430,1967,3,1
Belle de Jour,tt0061395,1967,3,1
Thoroughly Modern Millie,tt0062362,1967,3,1
I Am Curious (Yellow),tt0061834,1967,3,1
Two for the Road,tt0062407,1967,3,1
Elvira Madigan,tt0061620,1967,0,0
La collectionneuse,tt0061495,1967,1,0
Asterix the Gaul (Asterix le Gaulois),tt0061369,1967,0,0
Peppermint Frappe,tt0062113,1967,1,0
"Young Girls of Rochefort, The",tt0062873,1967,3,1
Daikaiju kuchusen: Gamera tai Gyaosu,tt0061695,1967,0,0
Bedazzled,tt0061391,1967,3,1
Cool Hand Luke,tt0061512,1967,1,0
In the Heat of the Night,tt0061811,1967,1,0
"Fox, The",tt0062990,1967,3,1
Berserk,tt0061398,1967,3,1
Casino Royale,tt0061452,1967,2,0
Son of Godzilla,tt0061856,1967,0,0
Night of the Living Dead,tt0063350,1968,3,1
If....,tt0063850,1968,1,0
Star!,tt0063642,1968,3,1
"Killing of Sister George, The",tt0063185,1968,3,1
Hellfighters,tt0063060,1968,2,0
Asterix et Cleopatre,tt0062687,1968,0,0
Barbarella,tt0062711,1968,3,1
Charly,tt0062794,1968,2,0
"Producers, The",tt0063462,1968,0,0
Ice Station Zebra,tt0063121,1968,0,0
Reconstruction,tt0063493,1968,0,0
"Bride Wore Black, The",tt0061955,1968,3,1
Taiyo no oji: Horusu no daiboken,tt0063668,1968,0,0
Carry On... Up the Khyber,tt0062782,1968,3,1
Funny Girl,tt0062994,1968,3,1
Head,tt0063049,1968,0,0
Once Upon a Time in the West,tt0064116,1968,1,0
Hang &#39;Em High,tt0061747,1968,2,0
Hour of the Wolf,tt0063759,1968,1,0
Destroy All Monsters,tt0063172,1968,0,0
Yellow Submarine,tt0063823,1968,0,0
Where Eagles Dare,tt0065207,1968,3,1
"Party, The",tt0063415,1968,3,1
2001: A Space Odyssey,tt0062622,1968,0,0
Planet of the Apes,tt0063442,1968,1,0
Il giorno della civetta,tt0063010,1968,0,0
Bullitt,tt0062765,1968,1,0
"Lion in Winter, The",tt0063227,1968,3,1
Rosemary&#39;s Baby,tt0063522,1968,3,1
Romeo and Juliet,tt0063518,1968,3,1
Up the Junction,tt0062426,1968,3,1
Gamera vs. Viras,tt0063000,1968,2,0
Dracula Has Risen from the Grave,tt0062909,1968,2,0
Easy Rider,tt0064276,1969,1,0
Women in Love,tt0066579,1969,3,1
Support Your Local Sheriff!,tt0065051,1969,1,0
Paint Your Wagon,tt0064782,1969,2,0
"Hello, Dolly!",tt0064418,1969,3,1
"They Shoot Horses, Don&#39;t They?",tt0065088,1969,1,0
"Computer Wore Tennis Shoes, The",tt0065566,1969,1,0
On Her Majesty&#39;s Secret Service,tt0064757,1969,2,0
"Italian Job, The",tt0064505,1969,1,0
"Honeymoon Killers, The",tt0064437,1969,3,1
Downhill Racer,tt0064253,1969,0,0
Midnight Cowboy,tt0064665,1969,1,0
Kes,tt0064541,1969,1,0
Take the Money and Run,tt0065063,1969,1,0
Butch Cassidy and the Sundance Kid,tt0064115,1969,1,0
"Prime of Miss Jean Brodie, The",tt0064840,1969,3,1
My Side of the Mountain,tt0064708,1969,1,0
Alice&#39;s Restaurant,tt0064002,1969,1,0
Chastity,tt0064156,1969,0,0
Z,tt0065234,1969,1,0
Age of Consent,tt0063991,1969,3,1
"Passion of Anna, The",tt0064793,1969,1,0
Mississippi Mermaid,tt0064990,1969,3,1
Army of Shadows,tt0064040,1969,0,0
True Grit,tt0065126,1969,3,1
My Night at Maud&#39;s,tt0064612,1969,3,1
"Godzilla&#39;s Revenge (Godzilla, Minira, Gabara: All Monsters Attack)",tt0064373,1969,0,0
Carry It On,tt0188484,1970,3,1
Santa Clause is Comin&#39; to Town,tt0066327,1970,1,0
"AristoCats, The",tt0065421,1970,3,1
Love Story,tt0066011,1970,1,0
Five Easy Pieces,tt0065724,1970,3,1
Claire&#39;s Knee,tt0065772,1970,3,1
"Nachts, wenn Dracula erwacht",tt0065569,1970,1,0
Two Mules for Sister Sara,tt0065134,1970,3,1
House of Dark Shadows,tt0065856,1970,2,0
"Boys in the Band, The",tt0065488,1970,0,0
Deep End,tt0066122,1970,1,0
"Phantom Tollbooth, The",tt0064806,1970,1,0
Dodes&#39;ka-den,tt0065649,1970,3,1
Donkey Skin,tt0066207,1970,3,1
Colossus: The Forbin Project,tt0064177,1970,0,0
Little Big Man,tt0065988,1970,1,0
Le Cercle Rouge,tt0065531,1970,0,0
Taste the Blood of Dracula,tt0065073,1970,3,1
"Music Lovers, The",tt0066109,1970,1,0
"Conformist, The",tt0065571,1970,3,1
Airport,tt0065377,1970,3,1
"Vampire Lovers, The",tt0066518,1970,3,1
Beyond the Valley of the Dolls,tt0065466,1970,3,1
Waterloo,tt0066549,1970,0,0
Tristana,tt0066491,1970,2,0
Les novices,tt0066164,1970,3,1
Bambule,tt0065449,1970,3,1
Scars of Dracula,tt0067713,1970,1,0
"Things of Life, The",tt0064165,1970,1,0
Darling Lili,tt0065611,1970,3,1
Tora! Tora! Tora!,tt0066473,1970,1,0
Willy Wonka &amp; the Chocolate Factory,tt0067992,1971,2,0
A Clockwork Orange,tt0066921,1971,1,0
Play Misty for Me,tt0067588,1971,3,1
And Now for Something Completely Different,tt0066765,1971,1,0
Escape from the Planet of the Apes,tt0067065,1971,1,0
Straw Dogs,tt0067800,1971,1,0
Sweet Sweetback&#39;s Baadasssss Song,tt0067810,1971,1,0
"Devils, The",tt0066993,1971,3,1
