title,imdbid,year,class,Country,Fem Wordcount,Production,Rated,Genre,Writers F,Writers M,Director,imdbRating
Exodus,tt0053804,1960,P,USA,0,United Artists,APPROVED,Action,0,2,M,6.8
Les yeux sans visage,tt0053459,1960,P,France,2,Criterion Collection,NOT RATED,Drama,0,5,M,7.8
"Story of Ruth, The",tt0054343,1960,P,USA,1,Fox,NOT RATED,Drama,0,0,M,6.8
Zazie dans le metro,tt0054494,1960,P,France,4,Criterion Collection,NOT RATED,Comedy,0,2,M,7.1
"Apartment, The",tt0053604,1960,P,USA,0,United Artists,NOT RATED,Comedy,0,1,M,8.3
"One, Two, Three",tt0055256,1961,P,USA,1,MGM Home Entertainment,NOT RATED,Comedy,0,1,M,8.0
One Hundred and One Dalmatians,tt0055254,1961,P,USA,1,Buena Vista,G,Animation,0,0,M,7.2
A Woman Is a Woman,tt0055572,1961,F,France,4,Rialto Pictures,NOT RATED,Comedy,0,0,M,7.6
A Raisin in the Sun,tt0055353,1961,P,USA,0,Sony Pictures Home Entertainment,APPROVED,Drama,0,0,M,8.1
"Parent Trap, The",tt0055277,1961,P,USA,0,Buena Vista Distribution Company,G,Comedy,0,1,M,7.1
"Innocents, The",tt0055018,1961,P,UK,0,Fox,NOT RATED,Horror,0,3,M,7.9
Blue Hawaii,tt0054692,1961,P,USA,0,Paramount Pictures,PG,Comedy,0,1,M,6.1
King Kong vs. Godzilla,tt0056142,1962,P,Japan,0,Toho,APPROVED,Action,0,2,M,5.9
"Trial of Joan of Arc, The",tt0059616,1962,F,France,0,Criterion Collection,N/A,Drama,0,1,M,7.6
Lolita,tt0056193,1962,P,UK,0,MGM,NOT RATED,Crime,0,0,M,7.6
War of the Buttons,tt0054949,1962,F,France,0,Comet Films,N/A,Comedy,0,1,M,7.5
"Miracle Worker, The",tt0056241,1962,P,USA,0,MGM Home Entertainment,NOT RATED,Biography,0,2,M,8.1
Advise &amp; Consent,tt0055728,1962,P,USA,0,WARNER BROTHERS PICTURES,NOT RATED,Drama,0,1,M,7.8
"Move Over, Darling",tt0057329,1963,P,USA,2,20th Century Fox,APPROVED,Comedy,2,4,M,7.0
"Great Escape, The",tt0057115,1963,F,USA,0,United Artists,APPROVED,Adventure,0,2,M,8.2
Sanjuro,tt0056443,1963,P,Japan,0,Criterion Collection,NOT RATED,Action,1,0,F,8.2
"Silence, The",tt0057611,1963,P,Sweden,0,Criterion Collection,R,Drama,0,0,M,8.0
