imdbid,year,binary,Country,Production,Rated,Genre,Writers F,Writers M,Director
tt0054215,1960,F,USA,Paramount Pictures,R,Horror,0,2,M
tt0053804,1960,T,USA,United Artists,APPROVED,Action,0,2,M
tt0154683,1960,T,Japan,Criterion Collection,NOT RATED,Drama,0,0,M
tt0054248,1960,F,Italy,Titanus Produzione,NOT RATED,Crime,0,1,M
tt0054476,1960,T,USA,Fox,APPROVED,Drama,0,2,M
tt0053946,1960,T,USA,MGM Home Entertainment,NOT RATED,Biography,0,3,M
tt0053976,1960,T,Sweden,Criterion Collection,NOT RATED,Drama,0,0,M
tt0053719,1960,T,UK,Trans Lux Inc.,PG-13,Horror,0,2,M
tt0053472,1960,F,France,Rialto Pictures,NOT RATED,Crime,0,0,M
tt0054047,1960,F,USA,MGM Home Entertainment,APPROVED,Action,0,1,M
tt0053779,1960,F,Italy,American International Picture,NOT RATED,Comedy,0,0,M
tt0053459,1960,T,France,Criterion Collection,NOT RATED,Drama,0,5,M
tt0053579,1960,T,Japan,CJ Entertainment,NOT RATED,Comedy,0,0,M
tt0054343,1960,T,USA,Fox,NOT RATED,Drama,0,0,M
tt0054022,1960,F,USA,20th Century Fox,NOT RATED,Comedy,0,0,M
tt0054333,1960,T,West Germany,Intercontinental Films,UNRATED,Horror,0,1,M
tt0054049,1960,T,UK,J. Arthur Rank Productions,NOT RATED,Comedy,0,3,M
tt0054494,1960,T,France,Criterion Collection,NOT RATED,Comedy,0,2,M
tt0054389,1960,F,France,Criterion Collection,NOT RATED,Crime,0,2,M
tt0054167,1960,F,UK,Astor Pictures Corporation,NOT RATED,Crime,0,2,M
tt0053677,1960,T,UK,Universal-International,UNRATED,Horror,0,3,M
tt0054749,1960,T,Italy,Madacy Entertainment,N/A,Drama,0,1,M
tt0054452,1960,T,France,Han Productions,N/A,Drama,1,0,M
tt0054067,1960,T,Italy,American International Picture,NOT RATED,Horror,0,2,M
tt0054377,1960,F,France,N/A,NOT RATED,Biography,0,1,M
tt0054331,1960,F,USA,Universal Pictures,PASSED,Adventure,0,2,M
tt0053604,1960,T,USA,United Artists,NOT RATED,Comedy,0,1,M
tt0054469,1960,F,USA,WARNER BROTHERS PICTURES,APPROVED,Comedy,0,1,M
tt0054407,1960,F,France,Filmsonor Productions,NOT RATED,Crime,0,1,M
tt0055256,1961,T,USA,MGM Home Entertainment,NOT RATED,Comedy,0,1,M
tt0055184,1961,T,USA,United Artists,NOT RATED,Drama,0,1,M
tt0055278,1961,T,USA,United Artists,APPROVED,Drama,1,3,M
tt0055614,1961,T,USA,United Artists Films,NOT RATED,Crime,0,3,M
tt0055254,1961,T,USA,Buena Vista,G,Animation,0,0,M
tt0054698,1961,F,USA,Paramount Pictures,NOT RATED,Comedy,0,1,M
tt0054997,1961,F,USA,Fox,NOT RATED,Drama,1,3,M
tt0055294,1961,F,USA,American International Pictures (AIP),UNRATED,Action,0,2,M
tt0055572,1961,F,France,Rialto Pictures,NOT RATED,Comedy,0,0,M
tt0054777,1961,T,UK,Universal Pictures,APPROVED,Horror,0,1,M
tt0054673,1961,F,USA,Crown International Pictures,UNRATED,Horror,0,1,M
tt0055353,1961,T,USA,Sony Pictures Home Entertainment,APPROVED,Drama,0,0,M
tt0055506,1961,T,UK,Westchester Films,NOT RATED,Drama,0,1,M
tt0055277,1961,T,USA,Buena Vista Distribution Company,G,Comedy,0,1,M
tt0054130,1961,T,Italy,Nepi Film,NOT RATED,Drama,0,0,M
tt0055499,1961,F,Sweden,Criterion Collection,NOT RATED,Drama,0,0,M
tt0055018,1961,T,UK,Fox,NOT RATED,Horror,0,3,M
tt0054953,1961,F,USA,Columbia Pictures,TV-PG,Action,0,1,M
tt0055082,1961,T,France,Rialto Pictures,NOT RATED,Drama,0,0,M
tt0055630,1961,F,Japan,Criterion Collection,NOT RATED,Action,2,0,F
tt0055571,1961,T,USA,Sony Pictures Entertainment,NOT RATED,Crime,0,1,M
tt0054743,1961,T,USA,MGM Home Entertainment,NOT RATED,Drama,2,1,M
tt0055471,1961,T,USA,Warner Home Video,NOT RATED,Drama,0,1,M
