year,imdb,title,binary,budget,domgross,intgross,budget_2013$,domgross_2013$,intgross_2013$
2013,tt1711425,21 &amp; Over,FAIL,13000000,25682380,42195766,13000000,25682380,42195766
2012,tt1343727,Dredd 3D,PASS,45000000,13414714,40868994,45658735,13611086,41467257
2013,tt2024544,12 Years a Slave,FAIL,20000000,53107035,158607035,20000000,53107035,158607035
2013,tt1272878,2 Guns,FAIL,61000000,75612460,132493015,61000000,75612460,132493015
2013,tt0453562,42,FAIL,40000000,95020213,95020213,40000000,95020213,95020213
2013,tt1335975,47 Ronin,FAIL,225000000,38362475,145803842,225000000,38362475,145803842
2013,tt1606378,A Good Day to Die Hard,FAIL,92000000,67349198,304249198,92000000,67349198,304249198
2013,tt2194499,About Time,PASS,12000000,15323921,87324746,12000000,15323921,87324746
2013,tt1814621,Admission,PASS,13000000,18007317,18007317,13000000,18007317,18007317
2013,tt1815862,After Earth,FAIL,130000000,60522097,244373198,130000000,60522097,244373198
2013,tt1800241,American Hustle,PASS,40000000,148430908,249484909,40000000,148430908,249484909
2013,tt1322269,August: Osage County,PASS,25000000,37304874,50304874,25000000,37304874,50304874
2013,tt1559547,Beautiful Creatures,PASS,50000000,19452138,55940671,50000000,19452138,55940671
2013,tt2334873,Blue Jasmine,PASS,18000000,33345833,68447831,18000000,33345833,68447831
2013,tt1535109,Captain Phillips,FAIL,55000000,107136417,218743570,55000000,107136417,218743570
2013,tt1939659,Carrie,PASS,30000000,35266619,85001659,30000000,35266619,85001659
2013,tt1985966,Cloudy with a Chance of Meatballs 2,FAIL,78000000,119640264,271725448,78000000,119640264,271725448
2013,tt1690953,Despicable Me 2,PASS,76000000,368065385,970766005,76000000,368065385,970766005
2013,tt2229499,Don Jon,FAIL,5500000,24477704,26377704,5500000,24477704,26377704
2013,tt1535108,Elysium,PASS,120000000,93050117,286192091,120000000,93050117,286192091
2013,tt1731141,Ender&#39;s Game,FAIL,110000000,61737191,89737191,110000000,61737191,89737191
2013,tt0848537,Epic,PASS,100000000,107518682,268418682,100000000,107518682,268418682
2013,tt0765446,Escape from Planet Earth,PASS,40000000,57012977,66454811,40000000,57012977,66454811
