title,imdbid,year,class,Country,Fem Wordcount,Production,Rated,Genre,Writers F,Writers M,Director,imdbRating
Exodus,tt0053804,1960,P,USA,0,United Artists,APPROVED,Action,0,2,M,6.8
Jigoku (Hell or The Sinners of Hell),tt0154683,1960,P,Japan,0,Criterion Collection,NOT RATED,Drama,0,0,M,6.9
Wild River,tt0054476,1960,P,USA,2,Fox,APPROVED,Drama,0,2,M,7.7
Inherit the Wind,tt0053946,1960,P,USA,0,MGM Home Entertainment,NOT RATED,Biography,0,3,M,8.2
"Virgin Spring, The",tt0053976,1960,P,Sweden,1,Criterion Collection,NOT RATED,Drama,0,0,M,8.1
"City of the Dead, The",tt0053719,1960,P,UK,2,Trans Lux Inc.,PG-13,Horror,0,2,M,6.8
A bout de souffle,tt0053472,1960,F,France,1,Rialto Pictures,NOT RATED,Crime,0,0,M,7.9
"Magnificent Seven, The",tt0054047,1960,F,USA,0,MGM Home Entertainment,APPROVED,Action,0,1,M,7.8
Les yeux sans visage,tt0053459,1960,P,France,2,Criterion Collection,NOT RATED,Drama,0,5,M,7.8
Late Autumn,tt0053579,1960,P,Japan,3,CJ Entertainment,NOT RATED,Comedy,0,0,M,8.2
"Story of Ruth, The",tt0054343,1960,P,USA,1,Fox,NOT RATED,Drama,0,0,M,6.8
Body in the Web,tt0054333,1960,P,West Germany,0,Intercontinental Films,UNRATED,Horror,0,1,M,2.4
Make Mine Mink,tt0054049,1960,P,UK,1,J. Arthur Rank Productions,NOT RATED,Comedy,0,3,M,7.1
Zazie dans le metro,tt0054494,1960,P,France,4,Criterion Collection,NOT RATED,Comedy,0,2,M,7.1
"Brides of Dracula, The",tt0053677,1960,P,UK,0,Universal-International,UNRATED,Horror,0,3,M,6.8
La ciociara,tt0054749,1960,P,Italy,2,Madacy Entertainment,N/A,Drama,0,1,M,7.9
"Truth, The",tt0054452,1960,P,France,1,Han Productions,N/A,Drama,1,0,M,7.6
Black Sunday,tt0054067,1960,P,Italy,3,American International Picture,NOT RATED,Horror,0,2,M,7.3
"Apartment, The",tt0053604,1960,P,USA,0,United Artists,NOT RATED,Comedy,0,1,M,8.3
Le Trou,tt0054407,1960,F,France,0,Filmsonor Productions,NOT RATED,Crime,0,1,M,8.5
"One, Two, Three",tt0055256,1961,P,USA,1,MGM Home Entertainment,NOT RATED,Comedy,0,1,M,8.0
"Misfits, The",tt0055184,1961,P,USA,0,United Artists,NOT RATED,Drama,0,1,M,7.4
Paris Blues,tt0055278,1961,P,USA,0,United Artists,APPROVED,Drama,1,3,M,6.7
West Side Story,tt0055614,1961,P,USA,0,United Artists Films,NOT RATED,Crime,0,3,M,7.6
One Hundred and One Dalmatians,tt0055254,1961,P,USA,1,Buena Vista,G,Animation,0,0,M,7.2
"Hustler, The",tt0054997,1961,F,USA,0,Fox,NOT RATED,Drama,1,3,M,8.0
"Phantom Planet, The",tt0055294,1961,F,USA,0,American International Pictures (AIP),UNRATED,Action,0,2,M,3.3
A Woman Is a Woman,tt0055572,1961,F,France,4,Rialto Pictures,NOT RATED,Comedy,0,0,M,7.6
"Curse of the Werewolf, The",tt0054777,1961,P,UK,0,Universal Pictures,APPROVED,Horror,0,1,M,6.8
"Beast of Yucca Flats, The",tt0054673,1961,F,USA,0,Crown International Pictures,UNRATED,Horror,0,1,M,2.4
A Raisin in the Sun,tt0055353,1961,P,USA,0,Sony Pictures Home Entertainment,APPROVED,Drama,0,0,M,8.1
A Taste of Honey,tt0055506,1961,P,UK,4,Westchester Films,NOT RATED,Drama,0,1,M,7.6
"Parent Trap, The",tt0055277,1961,P,USA,0,Buena Vista Distribution Company,G,Comedy,0,1,M,7.1
La Notte,tt0054130,1961,P,Italy,0,Nepi Film,NOT RATED,Drama,0,0,M,8.0
Through a Glass Darkly,tt0055499,1961,F,Sweden,3,Criterion Collection,NOT RATED,Drama,0,0,M,8.1
"Innocents, The",tt0055018,1961,P,UK,0,Fox,NOT RATED,Horror,0,3,M,7.9
"Leon Morin, Priest",tt0055082,1961,P,France,1,Rialto Pictures,NOT RATED,Drama,0,0,M,7.8
Underworld U.S.A.,tt0055571,1961,P,USA,0,Sony Pictures Entertainment,NOT RATED,Crime,0,1,M,7.5
"Children&#39;s Hour, The",tt0054743,1961,P,USA,0,MGM Home Entertainment,NOT RATED,Drama,2,1,M,7.8
Splendor in the Grass,tt0055471,1961,P,USA,2,Warner Home Video,NOT RATED,Drama,0,1,M,7.8
Mothra,tt0055198,1961,F,Japan,0,Sony Pictures Entertainment,PASSED,Fantasy,0,0,M,6.6
Blue Hawaii,tt0054692,1961,P,USA,0,Paramount Pictures,PG,Comedy,0,1,M,6.1
Mysterious Island,tt0055207,1961,F,UK,0,Columbia Pictures,APPROVED,Adventure,0,2,M,6.8
Snow White and the Three Stooges,tt0055458,1961,P,USA,0,Fox,APPROVED,Adventure,0,2,M,5.2
Accattone,tt0054599,1961,P,Italy,0,Water Bearer Films Inc.,NOT RATED,Drama,0,1,M,7.9
To Kill a Mockingbird,tt0056592,1962,P,USA,0,Universal International Pictur,NOT RATED,Crime,1,1,M,8.3
Les dimanches de Ville d&#39;Avray,tt0055910,1962,P,France,0,N/A,NOT RATED,Drama,0,3,M,7.8
"Day of the Triffids, The",tt0055894,1962,P,UK,0,Unknown,APPROVED,Horror,0,3,M,6.1
"L-Shaped Room, The",tt0057239,1962,P,UK,2,Columbia Pictures,N/A,Drama,0,1,M,7.4
King Kong vs. Godzilla,tt0056142,1962,P,Japan,0,Toho,APPROVED,Action,0,2,M,5.9
Hatari!,tt0056059,1962,P,USA,0,Howard Hawks,APPROVED,Action,0,1,M,7.2
"Trial of Joan of Arc, The",tt0059616,1962,F,France,0,Criterion Collection,N/A,Drama,0,1,M,7.6
Lawrence of Arabia,tt0056172,1962,F,UK,0,Columbia Pictures,PG,Adventure,0,2,M,8.3
